ts,value
2017-04-01 10:00:00,7894.758928571428
2017-04-01 12:00:00,9245.708333333334
2017-04-01 14:00:00,8106.411764705882
2017-04-01 16:00:00,4744.908333333334
2017-04-01 18:00:00,3520.2
2017-04-01 20:00:00,3475.975
2017-04-01 22:00:00,5169.0
2017-04-02 00:00:00,6836.383333333333
2017-04-02 02:00:00,7485.341666666666
2017-04-02 04:00:00,7474.883333333333
2017-04-02 06:00:00,7770.735042735043
2017-04-02 08:00:00,7951.466666666666
2017-04-02 10:00:00,8189.81512605042
2017-04-02 12:00:00,9586.808333333332
2017-04-02 14:00:00,8102.823529411765
2017-04-02 16:00:00,4771.621848739495
2017-04-02 18:00:00,3659.05
2017-04-02 20:00:00,3470.6916666666666
2017-04-02 22:00:00,5085.716666666666
2017-04-03 00:00:00,7080.9152542372885
2017-04-03 02:00:00,8022.428571428572
2017-04-03 04:00:00,7946.949579831933
2017-04-03 06:00:00,8290.616666666667
2017-04-03 08:00:00,8297.16806722689
2017-04-03 10:00:00,8420.344537815126
2017-04-03 12:00:00,9673.316666666668
2017-04-03 14:00:00,8264.275
2017-04-03 16:00:00,4689.512605042017
2017-04-03 18:00:00,3348.733333333333
2017-04-03 20:00:00,3257.35
2017-04-03 22:00:00,5036.0
2017-04-04 00:00:00,7431.3
2017-04-04 02:00:00,8801.725
2017-04-04 04:00:00,8624.546218487394
2017-04-04 06:00:00,9009.533333333333
2017-04-04 08:00:00,8964.546218487394
2017-04-04 10:00:00,9074.714285714286
2017-04-04 12:00:00,9803.44537815126
2017-04-04 14:00:00,7897.025
2017-04-04 16:00:00,4448.733333333334
2017-04-04 18:00:00,3439.529411764706
2017-04-04 20:00:00,3478.733333333333
2017-04-04 22:00:00,4796.252100840336
2017-04-05 00:00:00,6996.041666666667
2017-04-05 02:00:00,7947.720338983051
2017-04-05 04:00:00,7702.436974789916
2017-04-05 06:00:00,7937.093220338983
2017-04-05 08:00:00,8033.076271186441
2017-04-05 10:00:00,9594.683333333332
2017-04-05 12:00:00,9933.025423728814
2017-04-05 14:00:00,8152.208333333333
2017-04-05 16:00:00,4306.233333333334
2017-04-05 18:00:00,3301.15
2017-04-05 20:00:00,3368.9
2017-04-05 22:00:00,4697.783333333334
2017-04-06 00:00:00,6702.771186440678
